"date","heat","cool"
2012-01-11,13,0
2012-01-12,11,0
2012-01-13,11,0
2012-01-14,13,0
2012-01-15,16,0
2012-01-16,21,0
2012-01-17,22,0
2012-01-18,20,0
2012-01-19,18,0
2012-01-20,16,0
2012-01-21,15,0
2012-01-22,19,0
2012-01-23,18,0
2012-01-24,15,0
2012-01-25,10,0
2012-01-26,8,0
2012-01-27,10,0
2012-01-28,12,0
2012-01-29,9,0
2012-01-30,12,0
2012-01-31,13,0
2012-02-01,13,0
2012-02-02,13,0
2012-02-03,14,0
2012-02-04,13,0
2012-02-05,12,0
2012-02-06,13,0
2012-02-07,14,0
2012-02-08,10,0
2012-02-09,7,0
2012-02-10,9,0
2012-02-11,14,0
2012-02-12,15,0
2012-02-13,17,0
2012-02-14,18,0
2012-02-15,21,0
2012-02-16,17,0
2012-02-17,14,0
2012-02-18,16,0
2012-02-19,18,0
2012-02-20,18,0
2012-02-21,13,0
2012-02-22,7,0
2012-02-23,7,0
2012-02-24,7,0
2012-02-25,11,0
2012-02-26,15,0
2012-02-27,20,0
2012-02-28,21,0
2012-02-29,21,0
2012-03-01,18,0
2012-03-02,16,0
2012-03-03,11,0
2012-03-04,5,0
